tokenID,name,description,file_name,attributes[Species],attributes[Body],attributes[Beak],attributes[Beak Style],attributes[Eyes],attributes[Eye Style],attributes[Cheeks],attributes[Crest],attributes[Crest Color],attributes[Crown],attributes[Crown Color],attributes[Accessory]
1,Robingoose #1,Honk honk,goose_0001.png,Goose,Sky Blue,Lime,Closed,Black,Solid,No,Yes,Green,No,None,No
2,Robingoose #2,Honk honk,goose_0002.png,Goose,Salmon,Pink,Closed,Black,Solid,No,No,None,No,None,No
3,Robingoose #3,Honk honk,goose_0003.png,Goose,Purple,Yellow,Closed,Black,Solid,No,Yes,Purple,No,None,No
4,Robingoose #4,Honk honk,goose_0004.png,Goose,Green,Yellow,Open,Black,Solid,No,Yes,Salmon,No,None,No
5,Robingoose #5,Honk honk,goose_0005.png,Goose,Yellow,Orange,Open,Black,Solid,No,No,None,No,None,No
6,Robingoose #6,Honk honk,goose_0006.png,Goose,Pink,Coral,Closed,Blue,Two Tone,No,Yes,Pink,No,None,Yes
7,Robingoose #7,Honk honk,goose_0007.png,Goose,Turquoise,Salmon,Open,Lime,Two Tone,No,No,None,Yes,Black,No
8,Robingoose #8,Honk honk,goose_0008.png,Goose,Salmon,Yellow,Open,Black,Solid,No,No,None,No,None,No
9,Robingoose #9,Honk honk,goose_0009.png,Goose,Orange,Yellow,Closed,Sky Blue,Two Tone,No,No,None,No,None,No
10,Robingoose #10,Honk honk,goose_0010.png,Goose,Lime,Salmon,Open,Black,Solid,No,Yes,Lime,No,None,No
11,Robingoose #11,Honk honk,goose_0011.png,Goose,Pink,Green,Open,Black,Solid,Yes,Yes,Pink,No,None,No
12,Robingoose #12,Honk honk,goose_0012.png,Goose,White,Black,Open,Turquoise,Two Tone,Yes,No,None,No,None,No
13,Robingoose #13,Honk honk,goose_0013.png,Goose,White,Lime,Closed,Black,Solid,No,Yes,Yellow,No,None,No
14,Robingoose #14,Honk honk,goose_0014.png,Goose,Blue,Orange,Closed,Black,Solid,No,Yes,Blue,No,None,No
15,Robingoose #15,Honk honk,goose_0015.png,Goose,White,Orange,Open,Red,Two Tone,Yes,No,None,Yes,Yellow,No
16,Robingoose #16,Honk honk,goose_0016.png,Goose,Turquoise,Orange,Open,Black,Solid,Yes,No,None,No,None,No
17,Robingoose #17,Honk honk,goose_0017.png,Goose,Sky Blue,Salmon,Closed,Black,Solid,No,Yes,Sky Blue,No,None,No
18,Robingoose #18,Honk honk,goose_0018.png,Goose,Yellow,Coral,Open,Black,Solid,No,Yes,Yellow,No,None,No
19,Robingoose #19,Honk honk,goose_0019.png,Goose,Purple,Blue,Closed,Black,Solid,No,No,None,No,None,No
20,Robingoose #20,Honk honk,goose_0020.png,Goose,Turquoise,Orange,Open,Black,Solid,Yes,Yes,Turquoise,No,None,No
21,Robingoose #21,Honk honk,goose_0021.png,Goose,Sky Blue,Blue,Closed,Purple,Two Tone,No,No,None,No,None,Yes
22,Robingoose #22,Honk honk,goose_0022.png,Goose,Yellow,Black,Closed,Blue,Solid,No,No,None,No,None,No
23,Robingoose #23,Honk honk,goose_0023.png,Goose,Green,Pink,Open,Black,Solid,Yes,No,None,No,None,No
24,Robingoose #24,Honk honk,goose_0024.png,Goose,Turquoise,Yellow,Open,Purple,Two Tone,Yes,No,None,No,None,No
25,Robingoose #25,Honk honk,goose_0025.png,Goose,Lime,Sky Blue,Open,Black,Solid,No,Yes,Lime,No,None,No
26,Robingoose #26,Honk honk,goose_0026.png,Goose,Red,Pink,Closed,Purple,Two Tone,No,No,None,No,None,No
27,Robingoose #27,Honk honk,goose_0027.png,Goose,Yellow,Orange,Closed,Black,Solid,No,Yes,Yellow,No,None,No
28,Robingoose #28,Honk honk,goose_0028.png,Goose,Red,Orange,Closed,Black,Solid,No,No,None,No,None,No
29,Robingoose #29,Honk honk,goose_0029.png,Goose,White,Orange,Open,Black,Solid,No,No,None,No,None,No
30,Robingoose #30,Honk honk,goose_0030.png,Goose,White,Orange,Closed,Red,Two Tone,No,No,None,No,None,No
31,Robingoose #31,Honk honk,goose_0031.png,Goose,Turquoise,Yellow,Open,Black,Solid,No,Yes,Turquoise,No,None,No
32,Robingoose #32,Honk honk,goose_0032.png,Goose,Orange,Yellow,Closed,Purple,Two Tone,No,No,None,No,None,No
33,Robingoose #33,Honk honk,goose_0033.png,Goose,Orange,Yellow,Open,Purple,Two Tone,Yes,No,None,Yes,Black,No
34,Robingoose #34,Honk honk,goose_0034.png,Goose,Red,Yellow,Closed,Black,Solid,No,Yes,White,No,None,No
35,Robingoose #35,Honk honk,goose_0035.png,Goose,Sky Blue,Yellow,Open,Salmon,Two Tone,No,No,None,No,None,Yes
36,Robingoose #36,Honk honk,goose_0036.png,Goose,White,Orange,Open,Lime,Two Tone,No,Yes,Purple,No,None,No
37,Robingoose #37,Honk honk,goose_0037.png,Goose,Purple,Lime,Open,Black,Solid,Yes,Yes,Blue,No,None,No
38,Robingoose #38,Honk honk,goose_0038.png,Goose,White,Yellow,Open,Black,Solid,Yes,Yes,White,No,None,No
39,Robingoose #39,Honk honk,goose_0039.png,Goose,White,Orange,Closed,Black,Solid,No,Yes,White,No,None,No
40,Robingoose #40,Honk honk,goose_0040.png,Goose,Black,Turquoise,Closed,Coral,Two Tone,No,No,None,Yes,Yellow,No
